cleaned_tokens,task1,task2
"['rt', 'deje1k', 'florida', 'floridaing', '', '""that', 'shit', 'thicc', 'fuck""', 'httpstcogmn5jtss31']",HOF,PRFN
"['trash', 'like']",NOT,NONE
"['rt', 'eplbible', 'valverde', '""do', 'know', 'do""', 'alena', '""no""', 'valverde', '""me', 'neither', 'tell', 'messi', 'said', 'hi""', 'httpstcogv4mqq3']",NOT,NONE
"['easierharry', 'sarahbaska', 'you're', 'drinking', 'cum', 'powder', 'he's', 'ball', 'hatred']",NOT,NONE
"['rt', 'rivercitylabs', 'come', 'work', 'space', 'free', 'friday', '3', 'may', 'rcl', 'open', 'house', 'take', 'tour', 'space', 'followed', 'morning']",NOT,NONE
"['rt', 'artporns', 'i'm', '', '', '', '', 'fucking', '', '', '', '', '', '', 'sad', '']",HOF,PRFN
"['legit', 'gutted', 'fuck', '']",HOF,PRFN
"['rt', 'rfrass', 'you're', 'drunk', 'you're', 'like', '""i', 'know', 'sober', 'would', 'mad', 'spending', 'money', 'idk', 'whyy', 'i'll', 'fine""', 't']",NOT,NONE
"['rt', 'pikachulita', 'black', 'fucking', 'excellence', 'httpstcown8fab4ryw']",HOF,PRFN
"['charliekirk11', 'amazing', 'president', 'thi', 'g', 'amazing', 'trump', 'ability', 'tell', 'many', 'lies', 'amazing']",NOT,NONE
"['astroad', 'dvd', 'h', 'struggling', 'find', 'jinjins', 'calling', 'card', 'ssshut']",HOF,PRFN
"['rt', 'tedlieu', 'damning', 'evidence', 'realdonaldtrump', 'comes', 'public', 'view', 'becomes', 'clear', 'hiding', 'informati']",HOF,NONE
"['fucking', 'love', 'tony', 'stark', 'goddamn', 'much']",HOF,PRFN
"['1cathymckeown', 'get', 'carer', '']",NOT,NONE
"['rt', 'chadasitiyy', 'rawwwtalent', 'hate', 'shit', 'sm', 'bit', 'hurt', 'like', 'mf', 'im', 'already', 'knowing']",HOF,PRFN
"['revrrlewis', 'fucking', 'care']",HOF,PRFN
"['rt', 'baesuals', 'youre', 'comfortable', 'httpstcobx0nwqll67']",NOT,NONE
"['yunojng', 'tell', 'sign', 'paper', 'im', 'gonna', 'tattoo', 'ass']",HOF,PRFN
"['rt', 'kingushbal', '""i'll', 'see""', 'i'm', 'coming', 'never', 'coming', 'never', 'considered', 'never', 'gave', 'second', 'thought', 'remembered', 'because']",NOT,NONE
"['we're', 'like', 'two', 'peas', 'metrosexual', 'think', 'pod']",NOT,NONE
"['infernoomni', 'well', 'damn']",HOF,PRFN
"['you're', 'telling', 'instead', 'blazing', 'battle', 'two', 'queens', 'cersei', 'got', 'buried', 'concrete', 'd', 'httpstcohgftaeincs']",NOT,NONE
"['big', 'yeen', 'snout', 'pushing', 'sheets', 'mattress', 'bed', 'taking', 'deep', 'breaths', 'growling', 'softly', 'he', 'httpstcoytmqhzpba4']",NOT,NONE
"['rt', 'kingkayle', 'work', 'thinking', 'something', 'invent', 'stop', 'coming', 'motherfcker', '', 'httpstcosmyhiqfgjx']",HOF,PRFN
"['rt', 'atrinileah', '', 'filter', 'made', 'us', 'kinda', 'shit', '', 'whole', 'ramping', 'shop', 'come', 'ages', 'ago', 'finally', 'get', 'something']",HOF,PRFN
"['hate', 'reading', 'like', 'cant', 'unless', 'u', 'want', 'sleep', 'confused', 'hell', 'die']",NOT,NONE
"['damn', 'ok']",HOF,PRFN
"['rt', 'gulzaari', '40', 'less', 'fat', 'means', '40', 'chances', 'getting', 'partner', 'tinder', 'bye', 'bye', 'acne', 'due', 'fried', 'food', 'dontgetfried', 'getbak']",NOT,NONE
"['mate', 'temper', 'i'm', 'period', 'next', 'level', 'shit', 'i've', 'started', 'angry', 'crying', 'reason', 'loooool', 'okay']",HOF,PRFN
"['god', 'starks', 'separate', 'im', 'fucking', 'annoyed']",HOF,PRFN
"['gopchairwoman', 'realdonaldtrump', 'mean', 'woman', 'aren't', 'stupid', 'democrats', 'think', 'go', 'figure']",NOT,NONE
"['rt', 'soroyalcouncil', 'royal', 'council', 'literally', 'nicest', 'people', 'ever', 'wtf', 'u', 'pure', 'kind']",HOF,PRFN
"['akeuapex', 'peesh', 'playapex', 'bro', 'south', 'side', 'rotation', 'fucking', 'sucked', 'got', '6th', 'cause', '']",HOF,PRFN
"['selahrainxxx', 'clips4sale', 'richardmannprod', 'golden', 'ass', 'babe']",HOF,PRFN
"['pray', 'mama', 'surgery', 'today', 'pray', 'unborn', 'sister', 'born', '20', 'mins']",NOT,NONE
"['rt', 'bestforbritain', 'youre', 'eu', 'citizen', 'sign', 'vote', 'online', 'additional', 'forms', 'fill', 'youre', 'british', 'citizen']",NOT,NONE
"['rt', 'verywishywashy', 'finalfrantasy', 'oh', '', 'oh', 'fuck', '', '', '', '', '', '', '', '', 'fuck', 'sorry', 'guys', '']",HOF,OFFN
['damn'],NOT,NONE
"['rt', 'proudresister', 'bill', 'barr', 'traitor', 'lindsey', 'graham', 'traitor', 'mitch', 'mcconnell', 'traitor', 'donald', 'trump', 'traitor', 'dem']",HOF,HATE
"['rt', 'mitchellford91', 'dad', 'told', '""keep', 'stomach', 'flower', 'vase', 'full', 'you'll', 'lot', 'less', 'problems""', 'tbh', 'that's', 'probably']",NOT,NONE
"['rt', 'russdiemon', 'audacity', 'narcissism', 'people', 'think', 'stop', 'long', 'thought', 'manifested', 'realit']",NOT,NONE
"['rt', 'shannonrwatts', 'america', 'isn't', 'ready', 'elect', 'woman', 'president', 'sen', 'kamala', 'harris', 'httpstcod0oke2uvwj']",NOT,NONE
"['rt', 'igetloudtf', 'love', 'man', 'clingy', 'lay', 'lick', 'face', 'bite', 'ass', 'kiss', 'alll', 'face', 'tickle', 'rub', 'alll', 'amp']",HOF,PRFN
"['get', 'along', 'punkie', 'translate', 'exceptively', 'peculiar', 'people', 'penlight', '', 'httpstcohvqiadlouu']",NOT,NONE
"['rt', 'polosec', 'diamondandsilk', 'reading', 'laughed', 'heartily', 'think', 'cant', 'possibly', 'get', 'stupid', 'surprise', 'see']",HOF,PRFN
"['rt', 'banimonica', 'sylvester', 'unique', 'puts', 'head', 'heart', 'everything', 'wear', 'costume', 'gets', 'line', 'hav']",NOT,NONE
"['i'm', 'wit', 'shit', 'like', 'baby']",HOF,PRFN
"['look', 'beautiful', 'bitch']",HOF,PRFN
"['thought', 'things', 'would', 'change', 'dont', 'i'm', 'tired']",NOT,NONE
"['rt', 'gguklytaken', 'take', 'fucking', 'kidneys', 'beg', 'httpstco0xzfq2ywq4']",HOF,PRFN
"['rt', 'lillymsantiago', 'lmfaooo', 'know', 'best', 'part', 'tati', 'exposing', 'james', 'charles', 'homeboy', 'fucking', 'australia', 'right', 'and']",HOF,PRFN
"['existentialvibe', 'falsettour', 'go', 'fucking', 'room']",HOF,PRFN
"['rt', 'bushcamp2', 'you're', 'drowning', 'amp', 'millennial', 'sees', 'you're', 'big', 'trouble', 'httpstconzsvtqt1q2']",NOT,NONE
"['givingmejinki', 'deserve', 'jail', 'honestly', 'fucking', 'disgusting']",HOF,HATE
"['rt', 'elitetuans', 'fuck', 'division', '2', 'don't', 'know', 'manage', 'shitt']",HOF,PRFN
"['rt', 'crewcrew', 'wiggle', 'room', 'law', 'secretary', 'mnuchin', 'says', 'decided', 'turn', 'president', 'trumps', 'taxes', 'ove']",NOT,NONE
"['rt', 'antmcfchht', 'vvd', 'fucking', 'terrified', 'messi', 'standing', 'five', 'yards', 'away', 'calling', 'back', 'want', 'rate', 'bloke', 'values']",HOF,OFFN
"['silkymilkvoices', 'lol', 'xd', 'come', 'shit', '']",HOF,PRFN
"['rt', 'lorafrimanee', 'bitches', 'fat', 'asses', 'always', 'corny', 'shit', 'httpstcopv4wsmqxfm']",HOF,OFFN
"['rt', 'lathellg', 'going', 'live', 'ps4', 'favorite', 'bloodborne', 'would', 'super', 'awesome', 'made', '', 'httpstcoi5q3zzxxhl', '', 'tell']",NOT,NONE
"['might', 'fuck', 'around', 'demand', 'trial', 'combat', 'httpstco6lexhpvs7o']",HOF,PRFN
"['fucking', 'go']",HOF,PRFN
"['rt', '90scaroidanvers', 'dear', 'thanos', '']",NOT,NONE
"['rt', 'cdopeland', 'i'm', '2', 'min', 'jake', 'paul', 'cody', 'ko', 'video', 'fav', 'part', 'def', 'jake', 'tries', 'embarrass', 'cody', 'old', '""little', 'ba']",NOT,NONE
"['rt', 'afteraddic', 'absolutely', 'fucking', 'way', 'jo', 'crackhead', 'ass', 'stays', 'serious', 'hero', 'says', 'naughty', 'sexual', 'stuff', 'ear', 'want', 't']",HOF,PRFN
"['seulgi', 'cutest', 'bitch']",HOF,PRFN
"['btstwt', 'two', 'cute', 'must', 'overwhelmed', 'happiness', 'glad', 'youre', 'okay', 'done', 'extremely', 'httpstcoyovtm8jiow']",NOT,NONE
"['rt', 'susanri38784627', 'bilderberggp', 'barrattpeter', 'hilarybennmp', 'yes', 'bit', 'honesty', 'likes', 'benn', 'would', 'go', 'amiss', 'know']",NOT,NONE
"['rt', 'kathygriffin', 'california's', 'forests', 'federal', 'jurisdiction', 'dumb', 'fuck', 'httpstcor4xtal2dc2']",HOF,PRFN
"['btstwt', 'get', 'rest', 'please', '']",NOT,NONE
"['rt', 'shfi1', 'whoever', 'going', 'billboards', 'need', 'hear', 'hope', 'world', 'shout', 'loud', 'clear', '', 'bbmastopsocial', 'bts', 'btstwt']",NOT,NONE
"['stop', 'fucking', 'asking', 'got']",HOF,PRFN
"['rt', 'sonnygr4h4m', 'whoa', 'lindseygrahamsc', 'said', '""trump', 'fucking', 'idiotsorry', 'kids', 'there""', 'live', 'tv', 'juggling', 'th']",HOF,OFFN
"['lotufodunrin', 'you're', 'welcome', 'sir']",NOT,NONE
"['rt', 'spotlightbts', 'omggg', 'tae', 'u', 'go', 'u', 'hear', 'englishhe', 'said', 'we're', 'precious', 'memory', 'awwwww', 'btstwt', 'bbmas', 'httpstcophng']",NOT,NONE
"['rt', 'mssnewbooty', 'big', 'bootyyou', 'kno', 'rest', '', 'httpstconk1ecrfrjy']",HOF,PRFN
"['zufats', 'trevdaddy69', 'test', 'mother', 'fucker', 'keep', 'ducks', 'ya', 'horny', 'mouth']",HOF,OFFN
"['rt', 'ellegenerico', 'lol', 'beth', 'definitely', 'sick', 'shit', 'much', 'httpstcor0b1z9webb']",HOF,OFFN
"['holly', 'shit', 'im', 'out', 'httpstcoriidtp2gob']",HOF,PRFN
"['ihave3testiclez', 'skrtontia', 'nickiminaj', 'trinarockstarr', '', 'get', 'face']",NOT,NONE
"['rt', 'andypratt81', 'actually', 'really', 'remarkable', 'weve', 'able', 'catch', 'toake', 'gap', 'almost', '10', 'think', 'big', 'he']",NOT,NONE
"['fuck', 'wearing']",HOF,PRFN
"['rt', 'gabbimello', 'dirty', 'lying', 'liar', '', 'httpstco3tjduo5rds']",HOF,OFFN
"['rt', 'whistleirl', '1700', 'people', 'gaza', 'could', 'face', 'amputations', 'due', 'lack', 'health', 'funding', 'un', 'warns', 'mention', 'e']",NOT,NONE
"['rt', 'thevictorianels', 'hi', 'tweeps', 'sell', 'quality', 'wears', 'really', 'dope', 'unisex', 'hoodies', 'tracks', 'sweatshirts', 'pants', 'fine', 'ass', 'sneaks', 'dm']",HOF,PRFN
"['rt', 'cubano1955', 'support', 'djt', 'rest', 'kiss', 'ass', 'form', 'line', 'bitchesyour', 'bones', 'picked', 'vultures']",HOF,OFFN
"['rt', 'chasefoland', 'jake', 'paul', 'bro', 'you're', 'bully', 'hurt', 'feelings', 'cody', 'ko', 'httpstcozkskss8lb5']",NOT,HATE
"['good', 'shit', 'going']",HOF,PRFN
"['rt', 'grandfeddy', 'dead', 'blind', 'agenda', 'abeg', 'never', 'suited', 'pl', 'brains', 'damn', 'slow', 'good', 'player', 'wont', 'cut', 'pl']",NOT,NONE
"['rt', 'ariankillebrew', 'gop', 'allowing', 'candidates', 'primary', 'president', 'trump', 'accomplishes', 'split', 'votes', 'de']",HOF,NONE
"['darerising', 'anivies', 'castz', 'chubztr', 'oneupthreads', 'gamersupps', 'rodemics', 'respawnproducts', 'lets', 'fucking', 'go', 'yesss']",HOF,PRFN
"['gloriousguard', 'ik', 'like', 'fcking', 'blue', 'like', 'u', 'dont', 'need', 'say', 'shit', 'funny', 'man']",HOF,PRFN
"['getting', 'work', 'httpstconpcpqrojhd']",NOT,NONE
"['worldstar', 'thegame', 'tiffany', 'everything', 'game', 'old', 'ass', 'cheated', 'bye', 'boy', 'lol', '']",HOF,OFFN
"['rt', 'smoovth', 'productive', 'meetings', 'today', 'music', 'they're', 'starting', 'believe', 'see', 'lot', 'store', 'legit', 'shit']",HOF,PRFN
"['atta', 'boy', 'manny', 'get', 'swarzak', 'game', 'isnt', 'line', 'awhile', 'get', 'right']",NOT,NONE
"['everyone', 'keep', 'mind', 'na', 'i'm', 'less', '180', 'followers', 'away', 'goal', 'tapos', 'ipapadraw', 'ko', 'na', 'yung', 'txt', 'album', 'ko', 'please', 'anticipate', '']",NOT,NONE
"['astridologia', 'suits', 'youre', 'pretty', '', 'httpstco33iccvwftw']",NOT,NONE
"['rt', 'juicetoowavie', '""purchase', '9257', 'ok""', 'mean', 'it's', 'definitely', 'ok', 'need', 'like', 'fuck', 'guess']",HOF,PRFN
"['rt', 'helenzille', 'complete', 'embarrassment', 'journalism', 'disgrace', 'since', 'days', 'sabc', 'iqbal', 'surves', 'anchan']",HOF,OFFN
"['rt', 'katjathieme', 'signed', 'names', 'university', 'affiliations', 'signatories', 'reputations', 'line']",NOT,NONE
"['rt', 'bulletln', 'shit', 'gotta', 'go', 'home', 'deal', 'horny', 'ass', 'whiny', 'bitch', 'httpstcoxnatymtle0']",HOF,PRFN
"['stairfax', 'dont', 'sean', 'think', 'youll', 'die', 'uphold', 'dare']",HOF,OFFN
"['rt', 'dearestlili', 'goodnight', 'cole', 'always', 'manages', 'top', 'last', 'grand', 'date', 'i'm', 'sick', 'httpstcox4mhqky48x']",HOF,NONE
"['fuck', 'tetris', 'bullies', 'tetris99', 'tetris', 'nintendoswitch', 'httpstcodm7bcpftss']",HOF,PRFN
"['rt', 'shawnyhoney', 'chris', 'evans', 'fucking', 'confusing', 'u', 'see', 'ur', 'like', 'wow', 'wanna', 'ride', 'ur', 'dick', 'across', 'pacific', 'ocean', 'th']",HOF,PRFN
"['rt', 'jukazi2r', 'looking', 'girl', 'like', '""damn', 'how'd', 'manage', 'getting', 'fine', 'ass""', 'httpstcot5dcetozzb']",HOF,OFFN
"['rt', 'zerohedge', 'watch', 'live', 'fed', 'chair', 'powell', 'defend', 'dovish', 'bias', 'stocks', 'jobs', 'economy', 'soar', 'httpstcojdubelcu8u']",NOT,NONE
"['rt', 'xandermobusvo', 'woooooow', 'eat', 'dick', 'delta', 'damn', 'man', 'bring', 'video', 'games', 'everything', 'httpstcojwnrg0xknx']",HOF,PRFN
"['lock', 'lock']",NOT,NONE
"['rt', 'bbmabtsvote', 'hoping', 'vote', 'website', 'goin', 'full', 'force', '', 'bbmastopsocial', 'bts', 'btstwt', 'httpstcos0buxgs4pc']",NOT,NONE
"['rt', 'lesleyallan', 'ever', 'catch', 'mean', 'reason', 'youre', 'like', 'go', 'take', 'nap']",NOT,NONE
"['rt', 'karlcrilly', 'shes', 'little', 'beautyyyyyyyyyyyyyyy']",NOT,NONE
"['rt', 'kelvi', 'everyone', 'isnt', 'proud', 'theyre', 'surprised', 'keep', 'making', 'shit', 'happen']",HOF,PRFN
"['rt', 'deresutevid', 'pretty', 'liar', 'httpstcoo7k5y9akv6']",HOF,OFFN
"['krromm', 'fucking', 'larry', 'lol']",HOF,PRFN
"['rt', 'purges', 'nobody', 'damaged', 'ass', 'feel', 'like', 'you're', 'lying', 'okay']",HOF,PRFN
"['rt', 'markgatiss', 'fascism', 'coming', 'probably', 'slimy', 'anglicised', 'form', 'fascism', 'cultured', 'policemen', 'instead', 'nazi', 'gorillas', 'l']",NOT,NONE
"['rt', 'juniorebong', 'name', 'ini', 'obong', 'simply', 'means', 'gods', 'time', 'god', 'never', 'late', 'matter', 'situation', 'youre', 'going', 'through']",NOT,NONE
"['whitedswife', 'you're', 'pretty', '']",NOT,NONE
"['rt', 'jamierodr14', 'awesome', 'democratic', 'hopefuls', 'idea', '63', 'million', 'americans', 'sick', 'liberal', 'hypocrit']",HOF,HATE
"['jayshon511', 'nigga', 'getting', 'son', 'bitch', 'sister', 'birthday']",HOF,PRFN
"['diesmilingg', 'fuck', 'koyakeyan']",HOF,OFFN
"['guys', 'behind', 'scratching', 'fucking', 'cd', 'could', 'stop']",HOF,PRFN
"['go', 'fepeooh', 'httpstcooeshrnhtpx']",NOT,NONE
"['rt', 'k0lax', '1', 'neo', 'tilted', 'doesnt', 'follow', 'initial', 'naming', 'system', '2', 'may', 'fuck', 'still', 'snow', 'httpstcobr']",HOF,PRFN
"['hope', 'uni', 'update', 'isnt', 'full', 'priced']",NOT,NONE
"['rt', 'shesadarkskln', 'lmfaooooo', 'bitch', 'wtf', '', 'httpstcoze6tahhkng']",HOF,PRFN
"['hoodieclone', '', '', '""you', 'need', 'stop', 'stupid', 'shit', 'like', '', 'get', 'killed""']",HOF,PRFN
"['rt', 'janaecambraa', 'fuck', 'snapchat', 'bring', 'questions', 'y'all', 'irritating', 'nobody', 'cares', 'anonymously', 'wants', 'clap', 'ur']",HOF,PRFN
"['rt', 'birdsforu', 'honor', 'bambam's', 'birthday', 'donated', '90kg', 'cat', 'food', 'cat', 'shelter', 'sos', 'gatinhos', 'name', 'help', 'br']",NOT,NONE
"['rt', 'asianwolfhound', 'lol', 'calling', 'king', 'broken', 'lol', 'calling', 'hes', 'still', 'alive', 'lol', 'calling', 'face']",NOT,NONE
"['rt', 'btsbighit', 'dont', 'give', 'shit', 'bts', 'gloss', 'httptcolijfrozvv3']",HOF,PRFN
"['holy', 'fuck', '']",HOF,PRFN
"['rt', 'pspcspac', 'attention', 'advertising', 'agencies', 'we're', 'looking', 'next', 'government', 'canada', 'agency', 'record', 'media', 'planning', 'buying']",NOT,NONE
"['oan', 'don't', 'even', 'speak', 'father's', 'day', 'dad', 'dead', 'amp', 'mother', 'sons', 'father', '']",NOT,NONE
"['rt', 'tvietor08', 'guy', 'worldclass', 'asshole', 'httpstco3kafuvrgwj']",HOF,OFFN
"['killergaming22', 'oh', 'yeah', 'brother', 'it's', 'easy', '', 'time', 'considering', 'fuck', 'though']",HOF,PRFN
"['rt', 'gaigadsot', 'yousef', 'noora', 'please', 'don't', 'tell', 'anybody', 'kissed', 'don't', 'want', 'sana', 'think', 'we're', 'together', 'sofiane', 'httpstcowxxn3r']",NOT,NONE
"['rt', 'carlasbarlow', '""don't', 'worry', 'carla', 'you're', 'gonna', 'okay""', 'httpstcoe4x1kkzvob']",NOT,NONE
"['mizflagpin', 'snapboogielady', 'lol', 'r', 'u', 'talking', 'lock']",NOT,NONE
"['straight', 'got', 'two', 'saturdays', 'acting', 'like', 'eating', 'teachers', 'ass', 'bent', '', 'another', 'teacher', 'httpstcofuuc4wh7cj']",HOF,PRFN
"['morning', 'world', '']",NOT,NONE
"['fucking', 'ghetto']",HOF,PRFN
"['can't', 'go', 'lacrosse', 'playoffs', 'tonight', 'i'm', 'probably', 'gonna', 'end', 'getting', 'pink', 'eye', 'oflpaa', '']",NOT,NONE
"['rt', 'ordunlee', 'supposed', 'taken', 'insults', '""don't', 'silly', 'don't', 'stupid""']",NOT,NONE
"['rt', 'prettyflowergal', 'one', 'fearful', 'words', 'don't', 'know', 'stupid', 'may', 'sound', 'might', 'not']",HOF,OFFN
"['ummwhat', 'fuck', 'made', 'witness']",HOF,PRFN
"['rt', 'ablannar', 'airplane', 'tickets', 'expensive', 'separate', 'continents', 'stupid', 'miss', 'pangea']",NOT,NONE
"['rt', 'reeseyola', 'father', 'ya', 'kids', 'mane', 'biggest', 'fear', 'shit', 'hurt', 'ya', 'heart', 'seeing', '', 'httpstco4oddtpobki']",HOF,PRFN
"['trying', 'get', 'energy', 'stop', 'smoking', 'work', 'also', 'need', 'relaxed', 'enough', 'go', 'bums']",NOT,NONE
"['rt', '247jimin', 'think', 'i'm', 'gonna', 'yell', 'lungs', 'stuttering', 'lyrics', 'poorly', 'won't', 'silent', 'like', 'seesaw', 't']",NOT,NONE
"['rt', 'letstalkvivian', 'peter', 'said', 'fuck', 'men', 'httpstcoxp02o0q43g']",HOF,PRFN
"['rt', 'patnspankme', 'looking', 'drop', 'pounds', 'exercises', 'good', 'don't', 'really', 'want', 'move', 'still', 'want', 'knock']",NOT,NONE
"['rt', 'noyelue', 'girl', 'suddenly', 'stop', 'singing', 'shes', 'bathing', 'brother', 'know', 'shes', 'washing', 'iskaba', 'iskelebete', 'iskolo']",HOF,OFFN
"['zanerasp', 'stop', 'you're', 'making', 'attracted']",NOT,NONE
"['loud', 'ass', 'munching', 'one', 'mfs', 'chowing', 'chicken', 'wing', 'jk', 'talking', 'way', 'cackled']",HOF,PRFN
"['rt', 'pehledesh', 'liar', 'coward', 'modi', 'psychopath', 'modi', 'aartic02', 'immak02', 'aamnationalist', 'epicrofldon', 'aacharyasahiil', 'kill']",HOF,OFFN
"['biggeorgeaz', 'dbongino', 'realdonaldtrump', 'back', 'president', 'told', '1000', 'lies', '2', 'years', 'office', 'will', 'httpstco4vv9tew2zn']",NOT,NONE
"['rt', 'pigsandplans', '""close', 'you""', 'becomes', '""white', 'ferrari""', 'httpstcorzsvpiugw4']",NOT,NONE
"['rt', 'danieljohnsalt', 'rachel', 'johnson', 'saying', 'brexit', 'impossible', 'probably', 'one', 'dangerous', 'things', 'ive', 'ever', 'heard', 'brex']",HOF,OFFN
"['isnt', 'boring', 'episodes', 'swear', 'fuck']",HOF,PRFN
"['rt', 'purtyyvibes', 'don't', 'act', 'cocky', 'wanted', 'you', 'ion', 'need', 'you']",HOF,PRFN
"['commiedobbs', 'see', 'check', 'thread', 'things', 'come', 'fucking', 'rough']",HOF,PRFN
"['trdavis8337', 'brheabc13', 'abc13houston', 'exactly', 'shes', 'guilty', 'need', 'thrown', 'jail']",HOF,HATE
"['rt', 'ohteenquotes', '""maybe', 'one', 'day', 'you'll', 'call', 'tell', 'you're', 'sorry', 'too""']",HOF,NONE
"['rt', 'oretheboss', 'nah', 'fuck', 'messi', 'guy', 'clutch', 'af']",HOF,OFFN
"['rt', 'rambobiggs', 'you're', 'horrible', 'fucking', 'dr', 'you're', 'horrible', 'fucking', 'dr', 'you're', 'horrible', 'fucking', 'dr', 'you're', 'horrible', 'fucking', 'dr', 'you're']",HOF,HATE
"['rt', 'giossyerim', 'mariah', 'wiping', 'tear', 'throwing', 'away', 'tissue', 'likeejdjsjzjjss', 'httpstcotjbnt5oa6j']",NOT,NONE
"['rt', 'anatescott', 'also', 'hope', 'youll', 'join', 'idiot', 'dragon', 'reading', 'finale', 'httpstcocp48nzk88t']",HOF,PRFN
"['ewarren', 'based', 'actual', 'facts', 'you're', 'seeing', 'unredacted', 'amp', 'see', 'hell', 'think', 'y', 'httpstcoopnfufdetv']",HOF,PRFN
"['already', 'going', 'putin', 'trying', 'get', 'illegal', 'activities', 'started', 'trump', 'cant', 'win', 'strengths', 'personali', 'httpstcoeor88orbvl']",NOT,NONE
"['rt', 'hoarsewisperer', 'kamala', 'harris', 'full', 'morning', 'listening', 'barr', 'opportunity', 'question', 'arrives', 'going', 'make']",NOT,NONE
"['rt', 'iashutosh23', 'guy', 'gautamgambhir', 'never', 'anything', 'morally', 'ethically', 'wrong', 'msisodia', 'atishiaap', 'liar', 'arvindk']",NOT,NONE
"['thehill', 'bern', 'trying', 'keep', 'something', 'ppl', 'like', 'going', 'jail', 'want', 'able', 'vote', 'yo', 'httpstcoiqc9kuygwi']",NOT,NONE
"['rt', 'emerah', 'justxhenry', 'there's', 'absolutely', 'way', 'you're', 'getting', 'pregnant']",NOT,NONE
"['rt', 'jaeminpic', 'info', 'nct', 'dream', 'perform', 'today', '2019', 'kpop', 'entertaining', 'music', 'festival', 'taipei', 'nangang', 'exhibition', 'hall', 'a']",NOT,NONE
"['rt', 'cbsnews', 'trump', 'fking', 'idiot', 'graham', 'quotes', 'former', 'fbi', 'agent', 'peter', 'strzoks', 'text', 'barr', 'hearing', 'says', 'sorry', 't']",HOF,OFFN
"['bruh', 'review', 'la', 'llorona', 'hella', 'good', 'creative', 'hell', 'i've', 'always', 'liked', 'guy's', 'content', 'fuck', 'httpstcotx1ego9pn6']",NOT,NONE
"['rt', 'otsopeare', 'two', 'awards', 'today', 'milestone', 'httpstcokjhek9syty']",NOT,NONE
"['2019capitalstb', 'i'm', 'getting', 'tickets', 'tomorrow', 'morning']",NOT,NONE
"['rt', 'inwhat123', 'fucking', 'adorable', 'httpstcoi5w1aqlihg']",HOF,PRFN
"['censorship', 'finest', 'jack', 'suck', 'httpstcoubyx9uss1w']",HOF,HATE
"['get', 'naughty', 'httpstcod3rsau2bj6']",NOT,NONE
"['lack', 'communication', 'fuck', 'good', 'shit']",HOF,PRFN
"['lmaoo', 'there's', 'blogger', 'ig', 'who's', 'husband', 'literally', 'seems', 'hate', 'like', 'every', 'video', 'he's', 'scowling', 'doe', 'httpstcomnr6ubxmy5']",HOF,PRFN
"['rt', 'causticbob', 'racist', 'httpstcongn0fydxqw']",HOF,OFFN
"['2ndlightdiv', '1upgames', 'sorry', 'committed', 'casualdragongms', 'date']",NOT,NONE
"['sapirmizrahi2', 'think', 'okay', 'long', 'one', 'think', 'superior', 'using', 'different', 'term', 'pe', 'httpstco42g8muxbwl']",NOT,NONE
"['rt', 'itisdxvid', 'thats', 'asgards', 'ass', 'httpstco9u2crkkcmn']",HOF,OFFN
"['incredibly', 'vivid', 'dreams', '3', 'nights', 'running', 'wtf', 'going']",HOF,PRFN
"['comey', 'got', 'lot', 'mouth', 'guy', 'going', 'get', 'anal', 'raped', 'prison']",HOF,PRFN
"['get', 'httpstcozrxpmqflaw']",NOT,NONE
"['rt', 'strandjunker', 'still', 'answer', 'question', 'paid', 'brett', 'kavanaugh's', '92000', 'country', 'club', 'fees', 'plus', '200000', 'credit', 'card']",HOF,NONE
"['yup', 'yup', 'keep', 'talkin', 'card']",NOT,NONE
"['dont', 'submit', 'quit', 'apply', 'jobs', 'like', 'plumbing', 'pro', 'lowes', 'look', 'people', 'might', 'know', 'co', 'httpstcomemxxiz6vu']",NOT,NONE
"['rt', 'terriaxoxo', 'i'm', 'putting', 'yalls', 'shit', 'anymore', 'httpstcothcjaukujz']",HOF,PRFN
"['rt', 'clombardioso', 'gas', 'fucking', 'friends', 'fuck', 'gas', 'strangers', 'make', 'ppl', 'feel', 'good', 'free']",HOF,PRFN
"['rt', 'yourlocalgaymom', 'god', 'watching', 'young', 'gays', 'sneak', 'bathroom', 'stalls', 'church', 'suck', 'christmas', 'congregation']",HOF,OFFN
"['people', 'thought', 'boyfriend']",NOT,NONE
"['rt', 'ufcnmir1', 'refluxgate', 'get', 'help', 'need', 'lpr', 'silent', 'reflux', 'httpstcopkazkvc76a']",NOT,NONE
"['never', 'get', 'truth', 'whole', 'james', 'charles', 'drama', 'seems', 'it's', 'true', 'there's', 'two', 'sides', 'k', 'httpstco4ap0nkzkwq']",NOT,NONE
"['taniaarpa', 'hell', 'couldnt', 'found', 'cebuano', 'host', 'instead', 'terribly', 'ill', 'informed']",HOF,PRFN
"['niggas', 'talking', 'bout', 'shit', 'lol', 'gn']",HOF,HATE
"['jesus', 'christ', 'replies', 'shit', 'diane', 'abbott', 'gets', 'unreal', 'many', 'bitter', 'angry', 'miserable', 'people', 'she', 'httpstcodr8x15jst4']",HOF,HATE
"['rt', 'riaaror09913771', 'truelifeinitiativebydss', 'gurmeetramrahim', 'derasachasauda', 'followers', 'help', 'mentally', 'unstable', 'lost', 'un']",NOT,NONE
